soc_code,occupation_title,employment_2025,forecast_2030,forecast_2035
41-2011,Cashiers,3089410.0,2911491.8181818277,2671792.727272734
41-2012,Gaming Change Persons and Booth Cashiers,21530.0,17739.090909090824,16279.545454545412
41-2021,Counter and Rental Clerks,400810.0,338732.72727272846,304390.45454545505
41-2022,Parts Salespersons,270070.0,280932.7272727275,292980.9090909092
41-2031,Retail Salespersons,3897860.0,3066013.6363636255,2566053.6363636255
41-3011,Advertising Sales Agents,91700.0,60405.45454545505,31482.272727273405
41-3021,Insurance Sales Agents,479100.0,525061.8181818202,576400.9090909101
41-3031,"Securities, Commodities, and Financial Services Sales Agents",489570.0,573415.4545454532,647926.3636363633
41-3041,Travel Agents,55110.0,42917.27272727294,34522.27272727294
41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",1256010.0,1440654.2857142836,1653006.0714285672
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",284800.0,257274.54545454495,233858.18181818165
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",1238190.0,1138149.0909090936,1048667.2727272734
41-9011,Demonstrators and Product Promoters,64520.0,31901.81818181742,13849.545454544947
41-9012,Models,3780.0,2964.545454545456,2772.7272727272793
41-9021,Real Estate Brokers,46100.0,57203.63636363624,63275.45454545459
41-9022,Real Estate Sales Agents,193370.0,226246.36363636516,253462.72727272846
41-9031,Sales Engineers,51790.0,43125.45454545459,32985.0
41-9041,Telemarketers,58430.0,-40891.818181820214,-127990.0
41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",2760.0,3250.909090909059,1246.363636363647
43-1011,First-Line Supervisors of Office and Administrative Support Workers,1436680.0,1499593.6363636367,1517819.0909090918
43-2011,"Switchboard Operators, Including Answering Service",34280.0,-4500.0,-37666.81818181835
43-2021,Telephone Operators,3430.0,-15.454545454587787,-2720.0
43-3011,Bill and Account Collectors,158830.0,75507.2727272734,-1710.0
43-3021,Billing and Posting Clerks,404060.0,365526.3636363633,323016.8181818165
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",1373680.0,1366057.2727272697,1296448.1818181798
43-3041,Gaming Cage Workers,14430.0,8653.63636363647,5810.000000000233
43-3051,Payroll and Timekeeping Clerks,153140.0,149706.36363636365,148389.54545454553
43-3061,Procurement Clerks,55810.0,49472.72727272706,41854.999999999534
43-3071,Tellers,329480.0,210116.36363635957,108500.90909090638
43-4011,Brokerage Clerks,35940.0,25339.090909090824,13880.454545454122
43-4021,Correspondence Clerks,4290.0,3909.0909090908826,2883.636363636353
43-4031,"Court, Municipal, and License Clerks",179750.0,198225.4545454532,221780.90909090824
43-4041,"Credit Authorizers, Checkers, and Clerks",12030.0,-7544.545454544947,-23434.090909089893
43-4051,Customer Service Representatives,2595750.0,2797621.818181819,2808160.0000000005
43-4061,"Eligibility Interviewers, Government Programs",154800.0,168466.3636363633,180620.90909090824
43-4071,File Clerks,73440.0,35103.6363636367,2580.4545454550534
43-4081,"Hotel, Motel, and Resort Desk Clerks",261420.0,257972.7272727273,262110.4545454546
43-4111,"Interviewers, Except Eligibility and Loan",148060.0,133665.45454545505,113256.81818181835
43-4121,"Library Assistants, Clerical",85520.0,68125.45454545505,58659.54545454588
43-4131,Loan Interviewers and Clerks,164790.0,169380.9090909101,148322.72727272846
43-4141,New Accounts Clerks,36860.0,35650.90909090894,32376.81818181812
43-4151,Order Clerks,75200.0,17445.45454545319,-39545.0
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",90220.0,61290.909090908244,35039.54545454495
43-4171,Receptionists and Information Clerks,910180.0,936085.454545455,907272.2727272734
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,118710.0,97535.45454545412,83370.45454545412
43-5011,Cargo and Freight Agents,97670.0,107362.72727272753,114476.81818181835
43-5021,Couriers and Messengers,68640.0,68180.0,65823.18181818188
43-5031,"Police, Fire, and Ambulance Dispatchers",102500.0,102964.54545454541,106077.7272727273
43-5032,"Dispatchers, Except Police, Fire, and Ambulance",202810.0,210366.36363636376,215474.09090909106
43-5041,"Meter Readers, Utilities",19430.0,7888.181818181649,-1659.5454545458779
43-5051,Postal Service Clerks,73720.0,74405.45454545459,71724.09090909082
43-5052,Postal Service Mail Carriers,328820.0,336144.54545454547,338026.3636363636
43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",105200.0,113225.45454545447,114855.90909090906
43-5061,"Production, Planning, and Expediting Clerks",390160.0,444018.18181818165,485310.4545454532
43-5071,"Shipping, Receiving, and Traffic Clerks",816870.0,972684.5454545468,1082938.1818181872
43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",53300.0,35163.6363636367,22618.18181818165
43-6011,Executive Secretaries and Executive Administrative Assistants,459910.0,327003.6363636404,223724.09090909362
43-6012,Legal Secretaries,156280.0,121813.6363636367,97970.45454545505
43-6013,Medical Secretaries,961610.0,1031761.8181818128,1214364.0909090936
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",1706790.0,1306186.3636363745,969816.3636363745
43-9021,Data Entry Keyers,127080.0,96116.3636363633,63189.54545454495
43-9022,Word Processors and Typists,35010.0,11990.909090909176,-6411.818181818351
43-9031,Desktop Publishers,3350.0,-2183.6363636362366,-7440.454545454588
43-9041,Insurance Claims and Policy Processing Clerks,214260.0,186734.54545454495,156576.81818181835
43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",55230.0,37990.0,18634.090909090824
43-9061,"Office Clerks, General",2464940.0,2115624.545454532,1802888.6363636255
43-9071,"Office Machine Operators, Except Computer",25130.0,-190.0,-20864.090909089893
43-9081,Proofreaders and Copy Markers,4580.0,-209.09090909082443,-4109.545454545412
43-9111,Statistical Assistants,4710.0,947.2727272727061,-2914.0909090910573
45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",27960.0,34819.090909090824,40208.63636363624
45-2011,Agricultural Inspectors,14410.0,12390.0,11740.45454545453
45-2021,Animal Breeders,1330.0,1364.545454545455,1345.454545454546
45-2041,"Graders and Sorters, Agricultural Products",25180.0,13947.272727272473,5494.090909090824
45-2091,Agricultural Equipment Operators,28500.0,30573.636363636353,31878.636363636353
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",265500.0,261420.90909090918,253409.09090909082
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",32810.0,32604.54545454547,31458.181818181823
45-4011,Forest and Conservation Workers,6050.0,4919.999999999942,4121.363636363589
45-4021,Fallers,3130.0,2753.636363636353,1777.727272727294
45-4022,Logging Equipment Operators,21060.0,19645.454545454588,16947.272727272706
45-4023,Log Graders and Scalers,3070.0,3810.9090909090883,4079.0909090909117
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,812210.0,975104.5454545468,1133882.7272727266
47-2011,Boilermakers,10190.0,7071.818181818118,3802.272727272706
47-2021,Brickmasons and Blockmasons,52550.0,46962.72727272706,40924.999999999534
47-2022,Stonemasons,7820.0,5601.818181818118,2925.454545454355
47-2031,Carpenters,670090.0,702054.5454545454,708201.3636363638
47-2041,Carpet Installers,13780.0,6914.545454545412,-275.0
47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",23640.0,34002.72727272706,42288.63636363624
47-2043,Floor Sanders and Finishers,3720.0,4020.0,3773.1818181818235
47-2044,Tile and Marble Setters,35850.0,41291.81818181818,42516.36363636365
47-2051,Cement Masons and Concrete Finishers,206170.0,228863.63636363577,248190.45454545412
47-2053,Terrazzo Workers and Finishers,1180.0,140.90909090905916,-977.7272727272939
47-2061,Construction Laborers,1096780.0,1152756.3636363633,1233227.2727272734
47-2071,"Paving, Surfacing, and Tamping Equipment Operators",41820.0,35877.27272727294,30720.909090909176
47-2072,Pile-Driver Operators,2310.0,2368.1818181818235,1862.727272727294
47-2073,Operating Engineers and Other Construction Equipment Operators,478090.0,535737.2727272697,599293.1818181798
47-2081,Drywall and Ceiling Tile Installers,83080.0,83320.90909090894,78246.36363636353
47-2082,Tapers,12840.0,10019.090909091057,7008.6363636364695
47-2111,Electricians,757220.0,820552.7272727266,895174.0909090899
47-2121,Glaziers,58480.0,63452.72727272753,69386.81818181835
47-2131,"Insulation Workers, Floor, Ceiling, and Wall",44440.0,47334.54545454588,54198.6363636367
47-2132,"Insulation Workers, Mechanical",25660.0,23712.727272727236,22467.272727272706
47-2141,"Painters, Construction and Maintenance",225190.0,222980.00000000006,224188.6363636364
47-2142,Paperhangers,1570.0,786.363636363647,-65.0
47-2151,Pipelayers,33050.0,28839.090909090824,25159.545454545412
47-2152,"Plumbers, Pipefitters, and Steamfitters",465840.0,478081.81818181835,501955.90909090824
47-2161,Plasterers and Stucco Masons,19310.0,21380.0,20148.181818181823
47-2171,Reinforcing Iron and Rebar Workers,13800.0,11891.818181818118,9042.272727272706
47-2181,Roofers,135490.0,151133.6363636367,162900.90909090918
47-2211,Sheet Metal Workers,119770.0,105781.81818181835,95450.0
47-2221,Structural Iron and Steel Workers,68380.0,64224.54545454541,61522.272727272706
47-2231,Solar Photovoltaic Installers,31350.0,43100.909090909176,56261.36363636423
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",14170.0,9344.545454545878,3878.6363636367023
47-3012,Helpers--Carpenters,21680.0,12770.909090909176,4407.727272727527
47-3013,Helpers--Electricians,63630.0,62421.81818181812,57945.454545454355
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",7490.0,5095.454545454588,2927.727272727294
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",44330.0,36782.72727272753,29755.454545455053
47-3016,Helpers--Roofers,6030.0,1642.727272727294,-1394.5454545454122
47-4011,Construction and Building Inspectors,146720.0,171336.3636363633,198919.0909090899
47-4021,Elevator Installers and Repairers,23790.0,24705.454545454544,24983.18181818181
47-4031,Fence Erectors,24480.0,26141.818181818177,27365.0
47-4041,Hazardous Materials Removal Workers,51710.0,54743.63636363647,59133.18181818188
47-4051,Highway Maintenance Workers,154960.0,155686.36363636353,159699.5454545454
47-4061,Rail-Track Laying and Maintenance Equipment Operators,19580.0,22293.63636363647,24966.363636363763
47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,30650.0,31270.90909090906,32804.09090909094
47-5011,"Derrick Operators, Oil and Gas",10590.0,7290.000000000116,5242.2727272728225
47-5012,"Rotary Drill Operators, Oil and Gas",12600.0,5776.3636363635305,772.2727272727061
47-5013,"Service Unit Operators, Oil, Gas, and Mining",43140.0,34758.18181818188,29823.636363636237
47-5022,"Excavating and Loading Machine and Dragline Operators, Surface Mining",34480.0,23868.571428571828,16015.000000000466
47-5023,"Earth Drillers, Except Oil and Gas",19450.0,21926.0,24776.0
47-5032,"Explosives Workers, Ordnance Handling Experts, and Blasters",5100.0,5395.0,5610.0
47-5041,Continuous Mining Machine Operators,14000.0,16740.90909090906,18212.727272727177
47-5043,"Roof Bolters, Mining",2160.0,1437.1428571428696,985.3571428571595
47-5044,"Loading and Moving Machine Operators, Underground Mining",5930.0,8120.0,10105.714285714319
47-5051,"Rock Splitters, Quarry",3320.0,3188.1818181818235,2744.5454545454704
47-5071,"Roustabouts, Oil and Gas",44970.0,28247.27272727294,17942.727272727527
47-5081,Helpers--Extraction Workers,6700.0,-3825.454545454588,-11865.454545454588
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",617500.0,703450.9090909064,796763.636363633
49-2011,"Computer, Automated Teller, and Office Machine Repairers",65600.0,49380.0,29256.363636363298
49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers",11140.0,9745.454545454471,7974.090909090824
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",140920.0,94127.2727272734,45482.272727273405
49-2091,Avionics Technicians,18830.0,22269.09090909094,23612.272727272823
49-2092,"Electric Motor, Power Tool, and Related Repairers",14450.0,13984.545454545412,12905.90909090906
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",6940.0,2931.8181818181183,-772.7272727272939
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",65010.0,51580.909090909176,47350.45454545459
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",20720.0,22704.545454545456,22432.27272727272
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",8550.0,6830.0,5099.545454545412
49-2097,Electronic Home Entertainment Equipment Installers and Repairers,19780.0,18359.090909090824,15444.090909090824
49-2098,Security and Fire Alarm Systems Installers,86340.0,95735.45454545459,106184.54545454541
49-3011,Aircraft Mechanics and Service Technicians,138090.0,142349.09090909082,147658.63636363624
49-3021,Automotive Body and Related Repairers,149310.0,152083.63636363624,155981.81818181812
49-3022,Automotive Glass Installers and Repairers,20310.0,18426.363636363636,18401.363636363636
49-3023,Automotive Service Technicians and Mechanics,704640.0,711662.7272727266,739650.9090909082
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,289960.0,304689.0909090899,323125.90909090824
49-3041,Farm Equipment Mechanics and Service Technicians,37870.0,37617.272727272764,38480.45454545459
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",176600.0,211046.3636363633,241545.4545454532
49-3043,Rail Car Repairers,21350.0,18191.81818181812,16273.636363636237
49-3051,Motorboat Mechanics and Service Technicians,23220.0,26155.454545454588,28041.363636363647
49-3052,Motorcycle Mechanics,13510.0,12533.636363636353,11371.363636363647
49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,36060.0,38166.36363636365,40524.54545454553
49-3091,Bicycle Repairers,12170.0,13492.72727272728,13794.545454545456
49-3092,Recreational Vehicle Service Technicians,17430.0,21162.727272727294,23867.727272727294
49-3093,Tire Repairers and Changers,108410.0,97768.18181818188,93820.0
49-9011,Mechanical Door Repairers,27120.0,33555.45454545459,38483.18181818188
49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",48240.0,49127.272727272706,49835.0
49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",409670.0,481189.0909090899,548030.9090909101
49-9031,Home Appliance Repairers,32150.0,28396.36363636353,27089.090909090824
49-9041,Industrial Machinery Mechanics,439640.0,486100.9090909064,539673.1818181798
49-9043,"Maintenance Workers, Machinery",60020.0,32506.363636363298,13345.909090908244
49-9044,Millwrights,40330.0,39728.181818181765,38879.54545454541
49-9045,"Refractory Materials Repairers, Except Brickmasons",1080.0,309.09090909094084,-39.09090909088263
49-9051,Electrical Power-Line Installers and Repairers,131070.0,131291.81818181835,137416.81818181835
49-9052,Telecommunications Line Installers and Repairers,97720.0,96764.54545454495,91540.45454545412
49-9061,Camera and Photographic Equipment Repairers,1650.0,730.9090909091174,-369.09090909088263
49-9062,Medical Equipment Repairers,65990.0,78316.3636363633,91440.45454545412
49-9063,Musical Instrument Repairers and Tuners,5380.0,3936.363636363647,2413.1818181817653
49-9064,Watch Repairers,1310.0,1214.5454545454413,816.8181818181765
49-9071,"Maintenance and Repair Workers, General",1529700.0,1650549.0909090862,1765533.1818181798
49-9081,Wind Turbine Service Technicians,9980.0,15166.36363636353,19056.36363636353
49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",26410.0,27359.09090909094,25432.727272727294
49-9092,Commercial Divers,3450.0,3230.909090909092,3184.545454545456
49-9094,Locksmiths and Safe Repairers,15040.0,12792.727272727294,11002.727272727294
49-9095,Manufactured Building and Mobile Home Installers,3020.0,2821.818181818184,2690.4545454545514
49-9096,Riggers,22530.0,22714.54545454544,23239.54545454544
49-9097,Signal and Track Switch Repairers,8720.0,8282.72727272728,8419.090909090912
49-9098,"Helpers--Installation, Maintenance, and Repair Workers",95580.0,75985.45454545505,62701.36363636423
49-9099,"Installation, Maintenance, and Repair Workers, All Other",176300.0,200282.72727272846,219277.2727272734
51-1011,First-Line Supervisors of Production and Operating Workers,673430.0,718118.1818181816,759075.9090909082
51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",34020.0,24240.909090909176,17603.18181818165
51-2021,"Coil Winders, Tapers, and Finishers",12840.0,10360.909090909117,9261.363636363647
51-2031,Engine and Other Machine Assemblers,34000.0,43527.272727272735,44072.727272727265
51-2041,Structural Metal Fabricators and Fitters,52360.0,36274.54545454495,20752.272727272473
51-2051,Fiberglass Laminators and Fabricators,16170.0,16430.0,14808.571428571478
51-2061,Timing Device Assemblers and Adjusters,250.0,-770.0,-1614.6428571428405
51-3011,Bakers,236200.0,255670.9090909101,285812.72727272846
51-3021,Butchers and Meat Cutters,136430.0,139873.63636363635,141467.2727272727
51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",145700.0,128293.63636363624,119380.90909090871
51-3023,Slaughterers and Meat Packers,69950.0,66842.7272727273,62110.0
51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",20370.0,19481.818181818206,19089.54545454547
51-3092,Food Batchmakers,174520.0,191084.54545454495,207358.18181818165
51-3093,Food Cooking Machine Operators and Tenders,31250.0,23439.090909090824,19912.72727272706
51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",60840.0,54332.72727272706,47289.090909090824
51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",8930.0,1066.3636363637634,-5423.181818181649
51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",25250.0,22880.909090909176,20140.454545454588
51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",171200.0,161950.0,150928.6363636367
51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",4680.0,-907.2727272727061,-5839.545454545412
51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",67000.0,67355.45454545459,64899.54545454553
51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",16710.0,3982.7272727265954,-6718.636363636702
51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",12460.0,9550.0,6155.909090909176
51-4041,Machinists,287050.0,222361.8181818202,159757.2727272734
51-4051,Metal-Refining Furnace Operators and Tenders,16780.0,18525.45454545456,18771.81818181819
51-4052,"Pourers and Casters, Metal",4560.0,2695.454545454588,527.7272727272939
51-4061,"Model Makers, Metal and Plastic",2610.0,261.81818181823473,-1747.272727272706
51-4062,"Patternmakers, Metal and Plastic",1470.0,265.4545454545296,-894.5454545454704
51-4071,Foundry Mold and Coremakers,12790.0,11942.727272727236,11044.090909090883
51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",150470.0,167184.54545454565,172553.18181818188
51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",124590.0,143019.09090909082,150271.81818181835
51-4111,Tool and Die Makers,56930.0,44461.81818181742,33944.54545454495
51-4121,"Welders, Cutters, Solderers, and Brazers",416210.0,444296.3636363633,465886.3636363633
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",31600.0,20309.090909090824,12103.636363636237
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",14000.0,9926.363636363763,6290.909090909176
51-4192,"Layout Workers, Metal and Plastic",5970.0,3391.8181818182347,1263.1818181818817
51-4193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",32410.0,28671.81818181812,25325.454545454355
51-4194,"Tool Grinders, Filers, and Sharpeners",5600.0,2764.545454545412,654.5454545454122
51-5111,Prepress Technicians and Workers,23840.0,15805.454545454588,9615.909090909176
51-5112,Printing Press Operators,144260.0,127182.72727272753,111107.72727272753
51-5113,Print Binding and Finishing Workers,33180.0,24304.545454545412,14825.0
51-6011,Laundry and Dry-Cleaning Workers,198040.0,169569.09090909082,157409.09090909082
51-6021,"Pressers, Textile, Garment, and Related Materials",26120.0,11308.181818181649,-393.18181818164885
51-6031,Sewing Machine Operators,104880.0,86079.09090909082,66959.54545454588
51-6041,Shoe and Leather Workers and Repairers,7450.0,7087.272727272721,6779.999999999985
51-6042,Shoe Machine Operators and Tenders,3280.0,3681.818181818182,3664.090909090909
51-6051,"Sewers, Hand",2190.0,-460.0,-2899.545454545412
51-6052,"Tailors, Dressmakers, and Custom Sewers",13920.0,11259.090909091057,7456.818181818351
51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,5310.0,1744.545454545645,-1393.6363636362366
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",9000.0,5552.727272727294,2264.0909090910573
51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",13030.0,9001.818181818118,4277.727272727294
51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",22020.0,15910.909090909176,10706.363636363763
51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",12850.0,9439.090909090824,5931.3636363635305
51-6092,Fabric and Apparel Patternmakers,2950.0,1060.9090909090592,-490.0
51-6093,Upholsterers,20140.0,15980.909090909176,10082.727272727527
51-7011,Cabinetmakers and Bench Carpenters,77170.0,74150.90909090871,64932.27272727247
51-7021,Furniture Finishers,14480.0,12579.09090909094,10922.272727272823
51-7031,"Model Makers, Wood",280.0,-65.45454545452958,-447.7272727272648
51-7032,"Patternmakers, Wood",220.0,-385.4545454545587,-808.1818181818235
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",40850.0,37354.54545454541,32309.545454545412
51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",61420.0,51096.36363636376,41134.54545454541
51-8011,Nuclear Power Reactor Operators,5150.0,4206.363636363589,3415.909090909059
51-8012,Power Distributors and Dispatchers,8520.0,6767.2727272728225,5008.181818181882
51-8013,Power Plant Operators,29320.0,25800.000000000233,22369.545454545645
51-8021,Stationary Engineers and Boiler Operators,28250.0,27762.727272727177,25776.81818181812
51-8031,Water and Wastewater Treatment Plant and System Operators,128490.0,131100.90909090894,136139.09090909082
51-8091,Chemical Plant and System Operators,16610.0,5577.272727272473,-4280.909090909176
51-8092,Gas Plant Operators,18030.0,15992.727272727265,16156.363636363632
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",33160.0,27201.81818181835,22193.63636363647
51-8099,"Plant and System Operators, All Other",14080.0,18025.45454545447,20130.90909090906
51-9011,Chemical Equipment Operators and Tenders,139630.0,170603.6363636367,206302.7272727266
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",60100.0,60700.90909090894,65561.36363636353
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",26000.0,24808.18181818165,22214.545454545412
51-9022,"Grinding and Polishing Workers, Hand",10510.0,-1265.4545454541221,-12494.545454544947
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",94920.0,78213.6363636367,59220.0
51-9031,"Cutters and Trimmers, Hand",6060.0,764.5454545454122,-3715.454545454588
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",44980.0,38758.18181818118,30320.90909090871
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",58770.0,45088.18181818165,35099.090909090824
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",14280.0,11376.363636363763,8644.090909091057
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",597370.0,640554.545454545,681150.0
51-9071,Jewelers and Precious Stone and Metal Workers,22440.0,21483.636363636353,20127.272727272706
51-9081,Dental Laboratory Technicians,34410.0,31341.818181818235,29740.000000000116
51-9082,Medical Appliance Technicians,11280.0,11132.727272727177,9805.454545454471
51-9083,Ophthalmic Laboratory Technicians,18660.0,10671.818181818351,3976.818181818351
51-9111,Packaging and Filling Machine Operators and Tenders,379060.0,365571.81818181835,358482.27272727294
51-9123,"Painting, Coating, and Decorating Workers",7940.0,4997.272727272706,1483.6363636364695
51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",158740.0,176964.28571428545,193325.0
51-9141,Semiconductor Processors,31460.0,32999.090909090824,36106.36363636353
51-9151,Photographic Process Workers and Processing Machine Operators,4800.0,-10954.545454545878,-22684.545454545878
51-9161,Computer Numerically Controlled Tool Operators,169450.0,207081.4285714291,231856.4285714291
51-9162,Computer Numerically Controlled Tool Programmers,28500.0,31802.857142857276,34735.00000000023
51-9191,Adhesive Bonding Machine Operators and Tenders,11500.0,7529.090909090824,4347.727272727061
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",14760.0,11269.09090909094,9111.363636363647
51-9193,Cooling and Freezing Equipment Operators and Tenders,6900.0,5469.090909090883,4373.636363636353
51-9194,Etchers and Engravers,7750.0,7050.909090909117,6220.909090909117
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",33190.0,33098.18181818188,29990.454545454588
51-9196,"Paper Goods Machine Setters, Operators, and Tenders",96130.0,96933.63636363635,97840.0
51-9197,Tire Builders,20770.0,19551.818181818177,19171.818181818177
51-9198,Helpers--Production Workers,165700.0,-38579.09090908617,-197520.90909090638
53-1041,Aircraft Cargo Handling Supervisors,9760.0,9711.42857142858,9977.500000000015
53-2011,"Airline Pilots, Copilots, and Flight Engineers",103560.0,107860.0,117911.81818181835
53-2012,Commercial Pilots,47630.0,57637.27272727294,64920.45454545459
53-2021,Air Traffic Controllers,22510.0,21317.272727272706,20815.45454545453
53-2022,Airfield Operations Specialists,15190.0,21873.63636363647,26673.18181818188
53-2031,Flight Attendants,131650.0,131731.81818181835,138964.54545454588
53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",12630.0,6529.999999999767,2765.454545454355
53-3031,Driver/Sales Workers,409180.0,456359.0909090908,466015.9090909092
53-3032,Heavy and Tractor-Trailer Truck Drivers,2062040.0,2303276.3636363596,2516295.0
53-3033,Light Truck or Delivery Services Drivers,983300.0,1133085.4545454532,1227706.8181818128
53-3051,"Bus Drivers, School",402930.0,451143.0,503338.0
53-3052,"Bus Drivers, Transit and Intercity",159240.0,146322.85714285728,137522.85714285728
53-3053,Shuttle Drivers and Chauffeurs,248530.0,333974.0,421124.0
53-4011,Locomotive Engineers,33470.0,30804.54545454553,28305.909090909176
53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",3920.0,1989.0909090908826,820.4545454545296
53-4022,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",12400.0,12664.28571428571,12133.92857142858
53-4031,Railroad Conductors and Yardmasters,46440.0,46604.54545454547,47756.81818181818
53-4041,Subway and Streetcar Operators,10200.0,9584.545454545412,8852.272727272706
53-5011,Sailors and Marine Oilers,31670.0,28816.363636363647,28169.09090909094
53-5021,"Captains, Mates, and Pilots of Water Vessels",36850.0,34997.272727272735,35307.272727272735
53-5022,Motorboat Operators,2480.0,2073.636363636353,1752.2727272727207
53-5031,Ship Engineers,8400.0,7630.909090909117,7157.727272727294
53-6011,Bridge and Lock Tenders,3040.0,3186.363636363636,3130.909090909092
53-6021,Parking Lot Attendants,137880.0,103880.0,90361.3636363633
53-6031,Automotive and Watercraft Service Attendants,102010.0,89851.81818181789,80849.54545454541
53-6032,Aircraft Service Attendants,31300.0,55183.0,78108.0
53-6041,Traffic Technicians,7860.0,8418.181818181823,8973.636363636353
53-6051,Transportation Inspectors,24500.0,22660.0,20550.454545454588
53-6061,"Transportation Attendants, Except Flight Attendants",27110.0,25732.727272727294,27590.909090909176
53-7011,Conveyor Operators and Tenders,22930.0,21496.36363636353,19120.45454545447
53-7021,Crane and Tower Operators,42890.0,40920.0,39340.0
53-7031,Dredge Operators,1040.0,575.4545454545296,176.36363636361784
53-7041,Hoist and Winch Operators,2600.0,2198.1818181818235,1764.5454545454704
53-7051,Industrial Truck and Tractor Operators,774420.0,978093.636363633,1129617.7272727266
53-7061,Cleaners of Vehicles and Equipment,380430.0,383466.3636363633,393682.72727272706
